"jp","cn","status","category","occurrences","jp_text_rows","speaker_rows","aligned_cn_rows","variants_cn","first_stable_id","first_scene","source","basis"
"ッス","","candidate","片假名/拉丁字母扫描候选","29","29","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00292234","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"メンバ","","candidate","片假名/拉丁字母扫描候选","29","29","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00177448","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キス","接吻","candidate","第二遍术语证据","28","28","0","11","","pm:static:photonmelodies11.rio.003:2092185664:00234378","crsa:photonmelodies11.rio.003@2092185664","second_pass_line_evidence","第二遍行级证据（1条）"
"コース","","candidate","片假名/拉丁字母扫描候选","28","28","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00326485","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ウチ","我方/本舰","candidate","公共总表术语","26","26","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00192538","crsa:photonmelodies11.rio.003@839604068","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"ガキ","","candidate","片假名/拉丁字母扫描候选","26","26","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00253040","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"コイツ","","candidate","片假名/拉丁字母扫描候选","26","26","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00275317","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バッチリ","","candidate","片假名/拉丁字母扫描候选","25","25","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00217771","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"メチャクチャ","","candidate","片假名/拉丁字母扫描候选","25","25","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00292118","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リアル","","candidate","片假名/拉丁字母扫描候选","25","25","0","0","","pm:static:photonmelodies11.rio.004:0601851372:00175005","crsa:photonmelodies11.rio.004@601851372","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ストラップ","","candidate","片假名/拉丁字母扫描候选","24","24","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00149216","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ポイント","","candidate","片假名/拉丁字母扫描候选","24","24","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00242274","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オチ","包袱","candidate","第二遍术语证据","23","23","0","5","","pm:static:photonmelodies11.rio.003:1487490840:00139862","crsa:photonmelodies11.rio.003@1487490840","second_pass_line_evidence","第二遍行级证据（1条）"
"フィールド","","candidate","片假名/拉丁字母扫描候选","23","23","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00254708","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"薪","柴火","candidate","第二遍术语证据","23","23","0","1","","pm:static:photonmelodies11.rio.004:0499205748:00112566","crsa:photonmelodies11.rio.004@499205748","second_pass_line_evidence","第二遍行级证据（1条）"
"アリ","","candidate","片假名/拉丁字母扫描候选","22","22","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00314112","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"クソ","该死","candidate","公共总表术语","22","22","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00224898","crsa:photonmelodies11.rio.002@1544313288","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"エントリ","","candidate","片假名/拉丁字母扫描候选","21","21","0","0","","pm:static:photonmelodies11.rio.004:0874373084:00134138","crsa:photonmelodies11.rio.004@874373084","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サバゲ","","candidate","片假名/拉丁字母扫描候选","21","21","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00214194","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スポーツ","","candidate","片假名/拉丁字母扫描候选","21","21","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00195564","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"タイプ","类型","candidate","公共总表术语","21","21","0","13","","pm:static:photonmelodies11.rio.003:0839604068:00354850","crsa:photonmelodies11.rio.003@839604068","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"チャンス","","candidate","片假名/拉丁字母扫描候选","20","20","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00272440","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ハッキリ","","candidate","片假名/拉丁字母扫描候选","20","20","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00220290","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ハーレム","","candidate","片假名/拉丁字母扫描候选","20","20","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00498132","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"マシ","","candidate","片假名/拉丁字母扫描候选","20","20","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00358076","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギャップ","","candidate","片假名/拉丁字母扫描候选","19","19","0","0","","pm:static:photonmelodies11.rio.004:1259067424:00261732","crsa:photonmelodies11.rio.004@1259067424","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ジャングル","","candidate","片假名/拉丁字母扫描候选","19","19","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00206530","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バス","","candidate","片假名/拉丁字母扫描候选","19","19","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00191954","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リーナ","莉娜","candidate","公共总表术语","19","19","0","13","","pm:static:photonmelodies11.rio.003:0839604068:00206734","crsa:photonmelodies11.rio.003@839604068","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"ＧＰＳ","","candidate","片假名/拉丁字母扫描候选","19","19","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00297379","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アテ","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00149722","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"システム","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00304296","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スノボ","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00223006","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スピード","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00183933","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"チェック","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00364322","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ネタ","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00319964","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ライバル","","candidate","片假名/拉丁字母扫描候选","18","18","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00273578","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ゴロゴロ","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00153884","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スイカ","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00313680","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ッッッ","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00220152","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ドキドキ","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00226390","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ベッド","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00212396","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リフト","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.004:0408936772:00049159","crsa:photonmelodies11.rio.004@408936772","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ロシア","","candidate","片假名/拉丁字母扫描候选","17","17","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00307858","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キミ","","candidate","片假名/拉丁字母扫描候选","16","16","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00329956","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バスケ","","candidate","片假名/拉丁字母扫描候选","16","16","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00184306","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バーカ","","candidate","片假名/拉丁字母扫描候选","16","16","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00341082","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"プレイ","","candidate","片假名/拉丁字母扫描候选","16","16","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00323154","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"シミュレータ","","candidate","片假名/拉丁字母扫描候选","15","15","0","0","","pm:static:photonmelodies11.rio.004:0131862200:00295486","crsa:photonmelodies11.rio.004@131862200","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"シャレ","","candidate","片假名/拉丁字母扫描候选","15","15","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00677551","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"センサ","","candidate","片假名/拉丁字母扫描候选","15","15","0","0","","pm:static:photonmelodies11.rio.002:1214082412:00004943","crsa:photonmelodies11.rio.002@1214082412","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"トイレットペーパ","","candidate","片假名/拉丁字母扫描候选","15","15","0","0","","pm:static:photonmelodies11.rio.004:1199844672:00096022","crsa:photonmelodies11.rio.004@1199844672","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バイク","","candidate","片假名/拉丁字母扫描候选","15","15","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00438430","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アレコレ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00139152","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"イケ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00311672","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カッコ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00328717","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"カメラ","摄像机","candidate","公共总表术语","14","14","0","7","","pm:static:photonmelodies11.rio.003:1487490840:00123466","crsa:photonmelodies11.rio.003@1487490840","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"クリスマス","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00092472","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サンタ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00092472","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スト","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00286424","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ズバリ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00214194","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"セリフ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00107982","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"テク","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:0426952928:00323713","crsa:photonmelodies11.rio.004@426952928","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"テレビ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00150184","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"デイヴィット","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00208506","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ヌケ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00328506","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ノリ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00190728","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"パワ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00275644","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ヒッパーコス","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:0780938508:00047427","crsa:photonmelodies11.rio.004@780938508","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ボタン","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00106076","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ムチャクチャ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00174222","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"リゾート","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:0780938508:00044099","crsa:photonmelodies11.rio.004@780938508","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ワシ","","candidate","片假名/拉丁字母扫描候选","14","14","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00469498","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"遭難","遇难","candidate","第二遍术语证据","14","14","0","5","","pm:static:photonmelodies11.rio.002:1544313288:00317414","crsa:photonmelodies11.rio.002@1544313288","second_pass_line_evidence","第二遍行级证据（1条）"
"アルタイル","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.004:0860955960:00161171","crsa:photonmelodies11.rio.004@860955960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キツ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.004:0601851372:00141197","crsa:photonmelodies11.rio.004@601851372","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ゲット","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00139206","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サービス","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00124412","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"シロガネ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00395390","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"タイミング","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00384308","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"タカユキ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00496056","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"タケルッ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:1808201404:00076920","crsa:photonmelodies11.rio.003@1808201404","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ツッコミ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00347242","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ビミョ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00302344","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"プロ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00236566","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ボート","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00476624","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ミカン","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00115842","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ムキ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00253260","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"モノ","","candidate","片假名/拉丁字母扫描候选","13","13","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00153732","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"沢","山涧","candidate","第二遍术语证据","13","13","0","1","","pm:static:photonmelodies11.rio.003:2092185664:00258372","crsa:photonmelodies11.rio.003@2092185664","second_pass_line_evidence","第二遍行级证据（1条）"
"イマイチ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1272111780:00165134","crsa:photonmelodies11.rio.003@1272111780","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"オートロック","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:0780938508:00086283","crsa:photonmelodies11.rio.004@780938508","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ギリギリ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1668688832:00254135","crsa:photonmelodies11.rio.003@1668688832","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ケータイ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00274884","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サウナ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00215172","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サムライ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00354668","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"センセ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00218022","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"タダ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:0258770628:00132096","crsa:photonmelodies11.rio.004@258770628","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"チャック","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:1410213692:00124704","crsa:photonmelodies11.rio.004@1410213692","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ノート","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00148548","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ハル","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:1269734756:00296798","crsa:photonmelodies11.rio.004@1269734756","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"バックアップ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1487490840:00112560","crsa:photonmelodies11.rio.003@1487490840","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ヒマ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:1068948144:00044954","crsa:photonmelodies11.rio.004@1068948144","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ビビッ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00155122","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"フリ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:1808201404:00153302","crsa:photonmelodies11.rio.003@1808201404","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ライセンス","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:0812258960:00437792","crsa:photonmelodies11.rio.004@812258960","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"ワナ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.004:1235087732:00508154","crsa:photonmelodies11.rio.004@1235087732","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"職員","工作人员","candidate","公共总表术语","12","12","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00298624","crsa:photonmelodies11.rio.002@1544313288","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"ＢＢ","","candidate","片假名/拉丁字母扫描候选","12","12","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00217104","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"アメリカ","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00331882","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"エロ","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.004:1361070408:00338273","crsa:photonmelodies11.rio.004@1361070408","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"キング","国王号","candidate","公共总表术语","11","11","0","0","","pm:static:photonmelodies11.rio.003:1808201404:00093468","crsa:photonmelodies11.rio.003@1808201404","main_glossary","公共总表；须以本篇最终正文核对适用语境"
"グラウンド","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00344648","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"サバイバルゲーム","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.003:0839604068:00214194","crsa:photonmelodies11.rio.003@839604068","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"シンプル","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.003:2092185664:00228492","crsa:photonmelodies11.rio.003@2092185664","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"スイッチ","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.003:1933169644:00087968","crsa:photonmelodies11.rio.003@1933169644","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
"セット","","candidate","片假名/拉丁字母扫描候选","11","11","0","0","","pm:static:photonmelodies11.rio.002:1544313288:00223896","crsa:photonmelodies11.rio.002@1544313288","full_text_katakana_latin_scan","全文机械扫描候选；未据此自动固定中文"
