call_order,egpack,xml,message_tag_index,order_in_message,text_attr,id,jp,speaker_id,speaker_jp,status,same_id_total_egpacks,xml_attrs
1093,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,159,1,text,game_t01092,…\w…\wどうせ口に言って出したところでこれだからな。,,,ok,1,"__line__=""5360"" text=""$game_t01092"""
1094,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,160,1,text,game_t01093,「一応正規の命令系統で委託してる話だろうがよ…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""5400"" speaker=""$game_s00001"" text=""$game_t01093"" voice=""ウィル_A_Z0238"""
1095,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,161,1,text,game_t01094,「キミのココロはそれで納得するのかね？　うら若き乙女を徹夜作業に駆り出して良心の呵責はないのかね？」,game_s00010,メルヴィナ,ok,1,"__line__=""5450"" speaker=""$game_s00010"" text=""$game_t01094"" voice=""030_メルヴィナ_A_M0008"""
1096,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,162,1,text,game_t01095,「罪悪感でペダルを踏む足が一瞬止まるかもしれんのだよ？　それも着艦時に」,game_s00010,メルヴィナ,ok,1,"__line__=""5500"" speaker=""$game_s00010"" text=""$game_t01095"" voice=""030_メルヴィナ_A_M0009"""
1097,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,163,1,text,game_t01096,「…\w…\w哀れケネディの甲板は大破、\w偉大なる米軍はまた稼働機体をひとつ失うのである…\w…\w」,game_s00010,メルヴィナ,ok,1,"__line__=""5510"" speaker=""$game_s00010"" text=""$game_t01096"" voice=""030_メルヴィナ_A_M0010"""
1098,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,164,1,text,game_t01097,「とある空気の読めない衛士がチョコバーひとつケチったばかりに…\w…\w」,game_s00010,メルヴィナ,ok,1,"__line__=""5560"" speaker=""$game_s00010"" text=""$game_t01097"" voice=""030_メルヴィナ_A_M0011"""
1099,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,165,1,text,game_t01098,「…\w…\wわかった。もういい。明日の分確保しとくからその辺にしてくれ」,game_s00001,ウィル,ok,1,"__line__=""5570"" speaker=""$game_s00001"" text=""$game_t01098"" voice=""ウィル_A_Z0239"""
1100,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,166,1,text,game_t01099,…\w…\wこの辺で止めとかないとＪＦＫ沈没の日まで続けかねん。,,,ok,1,"__line__=""5580"" text=""$game_t01099"""
1101,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,167,1,text,game_t01100,「おおアナタ私のトモダチ、\w話が早いね！」,game_s00010,メルヴィナ,ok,1,"__line__=""5630"" speaker=""$game_s00010"" text=""$game_t01100"" voice=""030_メルヴィナ_A_M0012"""
1102,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,168,1,text,game_t01101,「まったく早く無いだろ今の流れ」,game_s00001,ウィル,ok,1,"__line__=""5640"" speaker=""$game_s00001"" text=""$game_t01101"" voice=""ウィル_A_Z0240"""
1103,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,169,1,text,game_t01102,「…\w…\wあの…\w…\wウィル、\wこちらは？」,game_s00011,リリア,ok,1,"__line__=""5680"" speaker=""$game_s00011"" text=""$game_t01102"" voice=""010_リリア_A_L0208"""
1104,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,170,1,text,game_t01103,「…\w…\wあれま。ウィル、\w女作ったの？」,game_s00010,メルヴィナ,ok,1,"__line__=""5920"" speaker=""$game_s00010"" text=""$game_t01103"" voice=""030_メルヴィナ_A_M0013"""
1105,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,171,1,text,game_t01104,「ぶふ――ッ！」,game_s00001,ウィル,ok,1,"__line__=""5950"" speaker=""$game_s00001"" text=""$game_t01104"" voice=""ウィル_A_Z0241"""
1106,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,172,1,text,game_t01105,…\w…\w隊長の煽りを超える爆弾を投下しやがったこいつ！,,,ok,1,"__line__=""5960"" text=""$game_t01105"""
1107,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,173,1,text,game_t01106,「…\w…\w…\w…\w！」,game_s00011,リリア,ok,1,"__line__=""6010"" speaker=""$game_s00011"" speaker_impl=""__nobody__"" text=""$game_t01106"" voice=""010_リリア_A_L0209"""
1108,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,174,1,text,game_t01107,「ダメじゃんウィル、\w女の子連れてるなら私なんかと仲良さそーに喋ってちゃさー」,game_s00010,メルヴィナ,ok,1,"__line__=""6060"" speaker=""$game_s00010"" text=""$game_t01107"" voice=""030_メルヴィナ_A_M0014"""
1109,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,175,1,text,game_t01108,「メル…\w…\wどうみても今、\w一方的に喋ってたのはおまえだろ…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""6070"" speaker=""$game_s00001"" text=""$game_t01108"" voice=""ウィル_A_Z0242"""
1110,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,176,1,text,game_t01109,「あ、\wこの子がメル…\w…\wさん？」,game_s00011,リリア,ok,1,"__line__=""6110"" speaker=""$game_s00011"" text=""$game_t01109"" voice=""010_リリア_A_L0210"""
1111,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,177,1,text,game_t01110,ああ、\w昨日ちらっと隊長との話に出てたから名前を覚えてたのか。記憶力いいな。,,,ok,1,"__line__=""6120"" text=""$game_t01110"""
1112,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,178,1,text,game_t01111,何にせよ、\w今の爆弾にリリアが全然反応しなかったのが救いだ。,,,ok,1,"__line__=""6130"" text=""$game_t01111"""
1113,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,179,1,text,game_t01112,「あ、\w噂に聞いてる？　照れるね！」,game_s00010,メルヴィナ,ok,1,"__line__=""6170"" speaker=""$game_s00010"" text=""$game_t01112"" voice=""030_メルヴィナ_A_M0015"""
1114,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,180,1,text,game_t01113,「メルヴィナ・アードヴァニーっす。あ、\wメシ食ってるし敬礼はナシで」,game_s00010,メルヴィナ,ok,1,"__line__=""6220"" speaker=""$game_s00010"" text=""$game_t01113"" voice=""030_メルヴィナ_A_M0016"""
1115,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,181,1,text,game_t01114,「あ、\wはい、\wえーっと…\w…\w」,game_s00011,リリア,ok,1,"__line__=""6260"" speaker=""$game_s00011"" text=""$game_t01114"" voice=""010_リリア_A_L0211"""
1116,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,182,1,text,game_t01115,「国連オーストラリア海軍所属、\w技術士官、\w少尉、\wウィルの前妻…\w…\wこんなとこでいいかな？」,game_s00010,メルヴィナ,ok,1,"__line__=""6300"" speaker=""$game_s00010"" text=""$game_t01115"" voice=""030_メルヴィナ_A_M0017"""
1117,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,183,1,text,game_t01116,「ぶげほッ！！」,game_s00001,ウィル,ok,1,"__line__=""6330"" speaker=""$game_s00001"" text=""$game_t01116"" voice=""ウィル_A_Z0243"""
1118,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,184,1,text,game_t01117,「ウィル…\w…\wあなた…\w…\w艦の規律がどーとか…\w…\w」,game_s00011,リリア,ok,1,"__line__=""6380"" speaker=""$game_s00011"" text=""$game_t01117"" voice=""010_リリア_A_L0212"""
1119,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,185,1,text,game_t01118,「ち、\w違うぞリリア、\wその」,game_s00001,ウィル,ok,1,"__line__=""6390"" speaker=""$game_s00001"" text=""$game_t01118"" voice=""ウィル_A_Z0244"""
1120,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,186,1,text,game_t01119,「大体いくらなんでもね、\w子供はダメよ子供は…\w…\w」,game_s00011,リリア,ok,1,"__line__=""6430"" speaker=""$game_s00011"" text=""$game_t01119"" voice=""010_リリア_A_L0213"""
1121,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,187,1,text,game_t01120,「違う！　断じて違う！　第一メルはこう見えて俺らとほとんど同い年だッ！」,game_s00001,ウィル,ok,1,"__line__=""6490"" speaker=""$game_s00001"" text=""$game_t01120"" voice=""ウィル_A_Z0245"""
1122,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,188,1,text,game_t01121,何故だ…\w…\w何故俺はいつもこんな目にあう…\w…\w！,,,ok,1,"__line__=""6500"" text=""$game_t01121"""
1123,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,189,1,text,game_t01122,「…\w…\w…\w…\w」,game_s00011,リリア,ok,1,"__line__=""6550"" speaker=""$game_s00011"" text=""$game_t01122"""
1124,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,190,1,text,game_t01123,「…\w…\w…\w…\w」,game_s00010,メルヴィナ,ok,1,"__line__=""6620"" speaker=""$game_s00010"" text=""$game_t01123"""
1125,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,191,1,text,game_t01124,あ、\w頭痛え…\w…\w。,,,ok,1,"__line__=""6670"" text=""$game_t01124"""
1126,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,192,1,text,game_t01125,「――あのだな、\w今紹介するけど…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""6680"" speaker=""$game_s00001"" text=""$game_t01125"" voice=""ウィル_A_Z0246"""
1127,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,193,1,text,game_t01126,「…\w…\wぷっ」,game_s00011,リリア,ok,1,"__line__=""6720"" speaker=""$game_s00011"" text=""$game_t01126"" voice=""010_リリア_A_L0214"""
1128,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,194,1,text,game_t01127,「…\w…\wく、\wくふふ」,game_s00010,メルヴィナ,ok,1,"__line__=""6770"" speaker=""$game_s00010"" text=""$game_t01127"" voice=""030_メルヴィナ_A_M0018"""
1129,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,195,1,text,game_t01128,「…\w…\wえ？」,game_s00001,ウィル,ok,1,"__line__=""6790"" speaker=""$game_s00001"" text=""$game_t01128"" voice=""ウィル_A_Z0247"""
1130,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,196,1,text,game_t01129,こ、\w今度は何だ？　ふたりして何がおかしいんだ！？,,,ok,1,"__line__=""6800"" text=""$game_t01129"""
1131,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,197,1,text,game_t01130,「あはは…\w…\wごめんなさいウィル、\w今のはちょっと面白かったわ」,game_s00011,リリア,ok,1,"__line__=""6840"" speaker=""$game_s00011"" text=""$game_t01130"" voice=""010_リリア_A_L0215"""
1132,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,198,1,text,game_t01131,「面白い青年じゃろ？　徹夜明けでも構いたくなるってもんよ」,game_s00010,メルヴィナ,ok,1,"__line__=""6890"" speaker=""$game_s00010"" text=""$game_t01131"" voice=""030_メルヴィナ_A_M0019"""
1133,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,199,1,text,game_t01132,「お、\wおまえら…\w…\w！」,game_s00001,ウィル,ok,1,"__line__=""6910"" speaker=""$game_s00001"" text=""$game_t01132"" voice=""ウィル_A_Z0248"""
1134,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,200,1,text,game_t01133,まさかリリアが初対面でいきなりメルと連合を組むとは…\w…\w。,,,ok,1,"__line__=""6950"" text=""$game_t01133"""
1135,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,201,1,text,game_t01134,偉大なるケネディ大統領、\w軍に男しかいなかった貴方の時代が羨ましいです…\w…\w。,,,ok,1,"__line__=""6960"" text=""$game_t01134"""
1136,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,202,1,text,game_t01135,「あのねえウィル、\wさすがに今の流れで変な誤解はしないわよ」,game_s00011,リリア,ok,1,"__line__=""7000"" speaker=""$game_s00011"" text=""$game_t01135"" voice=""010_リリア_A_L0216"""
1137,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,203,1,text,game_t01136,「それとも、\w何か誤解されるようなやましいコトでもあったのかしら？」,game_s00011,リリア,ok,1,"__line__=""7040"" speaker=""$game_s00011"" text=""$game_t01136"" voice=""010_リリア_A_L0217"""
1138,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,204,1,text,game_t01137,「…\w…\w…\w…\w！」,game_s00001,ウィル,ok,1,"__line__=""7050"" speaker=""$game_s00001"" text=""$game_t01137"" voice=""ウィル_A_Z0249"""
1139,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,205,1,text,game_t01138,「やましいコトなら脳内にありまくりだよなー。ウィル若いもんなー」,game_s00010,メルヴィナ,ok,1,"__line__=""7090"" speaker=""$game_s00010"" text=""$game_t01138"" voice=""030_メルヴィナ_A_M0020"""
1140,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,206,1,text,game_t01139,「…\w…\wくっ」,game_s00001,ウィル,ok,1,"__line__=""7100"" speaker=""$game_s00001"" text=""$game_t01139"" voice=""ウィル_A_Z0250"""
1141,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,207,1,text,game_t01140,落ち着け…\w…\wここで言い返したら元の木阿弥だ…\w…\w。,,,ok,1,"__line__=""7110"" text=""$game_t01140"""
1142,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,208,1,text,game_t01141,「さて、\wと…\w…\w。えーと、\wはじめまして。米国海兵隊所属、\wリリア・シェルベリです。同じく少尉よ」,game_s00011,リリア,ok,1,"__line__=""7150"" speaker=""$game_s00011"" text=""$game_t01141"" voice=""010_リリア_A_L0218"""
1143,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,209,1,text,game_t01142,「今日からウィルと同じ戦術機隊に正式に配属されたわ。よろしくね」,game_s00011,リリア,ok,1,"__line__=""7190"" speaker=""$game_s00011"" text=""$game_t01142"" voice=""010_リリア_A_L0219"""
1144,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,210,1,text,game_t01143,「おー、\wこないだ救助された娘だよね？　見ない顔だからそーじゃないかと思ってたんだ」,game_s00010,メルヴィナ,ok,1,"__line__=""7230"" speaker=""$game_s00010"" text=""$game_t01143"" voice=""030_メルヴィナ_A_M0021"""
1145,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,211,1,text,game_t01144,「あら、\w名前の方が先に広まっちゃったか」,game_s00011,リリア,ok,1,"__line__=""7280"" speaker=""$game_s00011"" text=""$game_t01144"" voice=""010_リリア_A_L0220"""
1146,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,212,1,text,game_t01145,「『新入り』は一ヶ月ぶりだからねー。結構有名人だと思うよ、\wキミ…\w…\wリリア、\wでいいかにゃ？」,game_s00010,メルヴィナ,ok,1,"__line__=""7320"" speaker=""$game_s00010"" text=""$game_t01145"" voice=""030_メルヴィナ_A_M0022"""
1147,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,213,1,text,game_t01146,「もちろん。こっちからもメルでいいかしら」,game_s00011,リリア,ok,1,"__line__=""7360"" speaker=""$game_s00011"" text=""$game_t01146"" voice=""010_リリア_A_L0221"""
1148,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,214,1,text,game_t01147,「ノープロブレム。メルでもメル様でもお好きなもので」,game_s00010,メルヴィナ,ok,1,"__line__=""7400"" speaker=""$game_s00010"" text=""$game_t01147"" voice=""030_メルヴィナ_A_M0023"""
1149,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,215,1,text,game_t01148,はあ…\w…\wリリアもすっかりメルの調子に取り込まれちまったな…\w…\w。,,,ok,1,"__line__=""7410"" text=""$game_t01148"""
1150,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,216,1,text,game_t01149,…\w…\wま、\wとは言えこれで彼女が元気になってくれるなら安いもんか。,,,ok,1,"__line__=""7420"" text=""$game_t01149"""
1151,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,217,1,text,game_t01150,「ところでリリア、\w先任ウィル担当士官としてひとつ申し送りをば」,game_s00010,メルヴィナ,ok,1,"__line__=""7460"" speaker=""$game_s00010"" text=""$game_t01150"" voice=""030_メルヴィナ_A_M0024"""
1152,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,218,1,text,game_t01151,「…\w…\wおいおい、\w何言い出す気だ？」,game_s00001,ウィル,ok,1,"__line__=""7470"" speaker=""$game_s00001"" text=""$game_t01151"" voice=""ウィル_A_Z0251"""
1153,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,219,1,text,game_t01152,「承ります、\wアードヴァニー殿」,game_s00011,リリア,ok,1,"__line__=""7510"" speaker=""$game_s00011"" text=""$game_t01152"" voice=""010_リリア_A_L0222"""
1154,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,220,1,text,game_t01153,「さっきちょっと話聞こえてたんだけどさ」,game_s00010,メルヴィナ,ok,1,"__line__=""7530"" speaker=""$game_s00010"" text=""$game_t01153"" voice=""030_メルヴィナ_A_M0025"""
1155,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,221,1,text,game_t01154,「ふんふん」,game_s00011,リリア,ok,1,"__line__=""7570"" speaker=""$game_s00011"" text=""$game_t01154"" voice=""010_リリア_A_L0223"""
1156,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,222,1,text,game_t01155,「合成食材の素晴らしさも分からないボーイに空気読むの期待するのはかなり無理」,game_s00010,メルヴィナ,ok,1,"__line__=""7610"" speaker=""$game_s00010"" text=""$game_t01155"" voice=""030_メルヴィナ_A_M0026"""
1157,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,223,1,text,game_t01156,「ぐっ…\w…\w」,game_s00001,ウィル,ok,1,"__line__=""7620"" speaker=""$game_s00001"" text=""$game_t01156"" voice=""ウィル_A_Z0252"""
1158,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,224,1,text,game_t01157,「そーゆーものとして扱った方が楽よん」,game_s00010,メルヴィナ,ok,1,"__line__=""7660"" speaker=""$game_s00010"" text=""$game_t01157"" voice=""030_メルヴィナ_A_M0027"""
1159,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,225,1,text,game_t01158,「なるほど…\w…\wしかし、\wご配慮いただき恐縮ですがメルヴィナ少尉」,game_s00011,リリア,ok,1,"__line__=""7710"" speaker=""$game_s00011"" text=""$game_t01158"" voice=""010_リリア_A_L0224"""
1160,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,226,1,text,game_t01159,…\w…\wお？　さすがに米国人同士、\wこの辺は反論してくれるのか？,,,ok,1,"__line__=""7720"" text=""$game_t01159"""
1161,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,227,1,text,game_t01160,「そのレベルの情報であれば、\w既に把握しております。ご心配には及ばぬものと」,game_s00011,リリア,ok,1,"__line__=""7760"" speaker=""$game_s00011"" text=""$game_t01160"" voice=""010_リリア_A_L0225"""
1162,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,228,1,text,game_t01161,「…\w…\wぷっ。あはははは！」,game_s00010,メルヴィナ,ok,1,"__line__=""7860"" speaker=""$game_s00010"" text=""$game_t01161"" voice=""030_メルヴィナ_A_M0028"""
1163,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,229,1,text,game_t01162,「…\w…\w期待した俺がアホだった」,game_s00001,ウィル,ok,1,"__line__=""7870"" speaker=""$game_s00001"" text=""$game_t01162"" voice=""ウィル_A_Z0253"""
1164,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,230,1,text,game_t01163,「てか、\w今のも聞いたよね？　この一言の多さがウィルバート・Ｄ・コリンズ少尉ですよ」,game_s00010,メルヴィナ,ok,1,"__line__=""7910"" speaker=""$game_s00010"" text=""$game_t01163"" voice=""030_メルヴィナ_A_M0029"""
1165,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,231,1,text,game_t01164,「分かる分かる。段々慣れてきたわ」,game_s00011,リリア,ok,1,"__line__=""7950"" speaker=""$game_s00011"" text=""$game_t01164"" voice=""010_リリア_A_L0226"""
1166,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,232,1,text,game_t01165,あ、\w頭痛え…\w…\w。,,,ok,1,"__line__=""7970"" text=""$game_t01165"""
1167,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,233,1,text,game_t01166,「おまえらがこんなに気が合うとは思わなかったよ…\w…\w紹介の必要もなさそうだな」,game_s00001,ウィル,ok,1,"__line__=""7980"" speaker=""$game_s00001"" text=""$game_t01166"" voice=""ウィル_A_Z0254"""
1168,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,234,1,text,game_t01167,「え、\wもうちょっと詳しく説明してよ。隊長との話にも出てきたし、\wさっき中継機がどうとか…\w…\w」,game_s00011,リリア,ok,1,"__line__=""8030"" speaker=""$game_s00011"" text=""$game_t01167"" voice=""010_リリア_A_L0227"""
1169,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,235,1,text,game_t01168,「…\w…\wああ、\wそうだな。『一応』我ら戦術機隊の重要なパートナー様だし」,game_s00001,ウィル,ok,1,"__line__=""8070"" speaker=""$game_s00001"" text=""$game_t01168"" voice=""ウィル_A_Z0255"""
1170,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,236,1,text,game_t01169,一応どころか、\w俺らの任務はメル無しでは成立しなかったぐらいだけどな。ま、\wあまり調子に乗せないほうがいい。,,,ok,1,"__line__=""8080"" text=""$game_t01169"""
1171,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,237,1,text,game_t01170,「いいぞーウィル、\w遠慮なく褒めたまえ敬いたまえ」,game_s00010,メルヴィナ,ok,1,"__line__=""8120"" speaker=""$game_s00010"" text=""$game_t01170"" voice=""030_メルヴィナ_A_M0030"""
1172,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,238,1,text,game_t01171,…\w…\w既に調子はマッキンリー山より高いんだからな。,,,ok,1,"__line__=""8130"" text=""$game_t01171"""
1173,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,239,1,text,game_t01172,「…\w…\wメルは俺らが設置して回ってる中継機の製造担当なんだよ。在り合わせの機材でな」,game_s00001,ウィル,ok,1,"__line__=""8140"" speaker=""$game_s00001"" text=""$game_t01172"" voice=""ウィル_A_Z0256"""
1174,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,240,1,text,game_t01173,「へえ！　言われてみればそっか。あんな中継機、\w誰かが作んなきゃ都合よく在るわけないもんね」,game_s00011,リリア,ok,1,"__line__=""8180"" speaker=""$game_s00011"" text=""$game_t01173"" voice=""010_リリア_A_L0228"""
1175,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,241,1,text,game_t01174,「そゆこと。工作設備はそちらさんのを使わせてもらってるけどね、\wキミらんトコの技術者はどーも発想がカタい」,game_s00010,メルヴィナ,ok,1,"__line__=""8220"" speaker=""$game_s00010"" text=""$game_t01174"" voice=""030_メルヴィナ_A_M0031"""
1176,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,242,1,text,game_t01175,「オーストラリア海軍の『シドニー』で似たようなシステム組んでたのがメルでさ」,game_s00001,ウィル,ok,1,"__line__=""8260"" speaker=""$game_s00001"" text=""$game_t01175"" voice=""ウィル_A_Z0257"""
1177,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,243,1,text,game_t01176,というより、\wシドニー側が流していたあの中継ブイがなかったら、\wそもそもＪＦＫはシドニーを発見できなかったはずだ。,,,ok,1,"__line__=""8270"" text=""$game_t01176"""
1178,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,244,1,text,game_t01177,「それでこっちにお呼ばれしてるってわけ。ホテル・ケネディに部屋ももらったしさ」,game_s00010,メルヴィナ,ok,1,"__line__=""8310"" speaker=""$game_s00010"" text=""$game_t01177"" voice=""030_メルヴィナ_A_M0032"""
1179,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,245,1,text,game_t01178,「引く手あまたの美貌と才能だよ、\w参っちゃうねー！」,game_s00010,メルヴィナ,ok,1,"__line__=""8350"" speaker=""$game_s00010"" text=""$game_t01178"" voice=""030_メルヴィナ_A_M0033"""
1180,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,246,1,text,game_t01179,「…\w…\wすごいわ。て言うか、\wそれってつまり…\w…\w」,game_s00011,リリア,ok,1,"__line__=""8390"" speaker=""$game_s00011"" text=""$game_t01179"" voice=""010_リリア_A_L0229"""
1181,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,247,1,text,game_t01180,「ん？　なんだ？」,game_s00001,ウィル,ok,1,"__line__=""8400"" speaker=""$game_s00001"" text=""$game_t01180"" voice=""ウィル_A_Z0258"""
1182,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,248,1,text,game_t01181,「メル、\w私の命の恩人じゃない！　しかも私だけじゃないわ、\w一体何人メルに救われたのか…\w…\w」,game_s00011,リリア,ok,1,"__line__=""8440"" speaker=""$game_s00011"" text=""$game_t01181"" voice=""010_リリア_A_L0230"""
1183,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,249,1,text,game_t01182,「…\w…\wそれは紛れも無い事実だな」,game_s00001,ウィル,ok,1,"__line__=""8450"" speaker=""$game_s00001"" text=""$game_t01182"" voice=""ウィル_A_Z0259"""
1184,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,250,1,text,game_t01183,「…\w…\w美人さんにストレートに言われるとさすがに照れるね。でもホント、\wリリアも助けられて良かったよ…\w…\w」,game_s00010,メルヴィナ,ok,1,"__line__=""8500"" speaker=""$game_s00010"" text=""$game_t01183"" voice=""030_メルヴィナ_A_M0034"""
1185,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,251,1,text,game_t01184,「こんな時だからさ、\wやれることはやっときたいんだよ」,game_s00010,メルヴィナ,ok,1,"__line__=""8560"" speaker=""$game_s00010"" text=""$game_t01184"" voice=""030_メルヴィナ_A_M0035"""
1186,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,252,1,text,game_t01185,「そのためなら、\wアメちゃんの設備を使わない手はないからさ。渡りに船ってやつだね」,game_s00010,メルヴィナ,ok,1,"__line__=""8650"" speaker=""$game_s00010"" text=""$game_t01185"" voice=""030_メルヴィナ_A_M0036"""
1187,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,253,1,text,game_t01186,「…\w…\wだったら俺に毎度タカらなくてもいいんじゃないか？」,game_s00001,ウィル,ok,1,"__line__=""8670"" speaker=""$game_s00001"" text=""$game_t01186"" voice=""ウィル_A_Z0260"""
1188,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,254,1,text,game_t01187,「それは別」,game_s00010,メルヴィナ,ok,1,"__line__=""8710"" speaker=""$game_s00010"" text=""$game_t01187"" voice=""030_メルヴィナ_A_M0037"""
1189,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,255,1,text,game_t01188,…\w…\wこうは言ってみてるけど、\w確かに安いもんだよ。,,,ok,1,"__line__=""8720"" text=""$game_t01188"""
1190,040_UAF_DAY94_01.egpack,040_UAF_DAY94_01.xml,256,1,text,game_t01189,もしこいつがいなかったら、\w生き残ってる人間を見つけることも出来なかった。,,,ok,1,"__line__=""8730"" text=""$game_t01189"""
